Date,Open,High,Low,Close,Volume
2013-04-25,158.34,159.27,158.1,158.52,131060567
2013-04-26,158.33,158.6,157.73,158.24,95918776
2013-04-29,158.67,159.65,158.42,159.3,88572702
2013-04-30,159.27,159.72,158.61,159.68,116010614
2013-05-01,159.33,159.41,158.1,158.28,138874120
2013-05-02,158.68,159.89,158.53,159.75,96407564
2013-05-03,161.14,161.88,159.78,161.37,144202220
2013-05-06,161.49,162.01,161.42,161.78,66882091
2013-05-07,162.13,162.65,161.67,162.6,90359178
2013-05-08,162.42,163.39,162.33,163.34,97419172
2013-05-09,163.27,163.7,162.47,162.88,106738550
2013-05-10,162.99,163.55,162.51,163.41,103202902
2013-05-13,163.2,163.81,162.82,163.54,81843160
2013-05-14,163.67,165.35,163.67,165.23,119000837
2013-05-15,164.96,166.45,164.91,166.12,120718433
2013-05-16,165.78,166.36,165.09,165.34,109913544
2013-05-17,165.95,167.04,165.73,166.94,129801000
2013-05-20,166.78,167.58,166.61,166.93,85071182
2013-05-21,167.08,167.8,166.5,167.17,95804190
2013-05-22,167.34,169.07,165.17,165.93,244031724
2013-05-23,164.16,165.91,163.94,165.45,211064320
2013-05-24,164.47,165.38,163.98,165.31,151573867
2013-05-28,167.04,167.78,165.81,166.3,143679738
2013-05-29,165.42,165.8,164.34,165.22,160363334
2013-05-30,165.35,166.59,165.22,165.83,107793730
2013-05-31,165.37,166.31,163.13,163.44,176850020
2013-06-03,163.83,164.46,162.66,164.35,168390676
2013-06-04,164.44,165.1,162.73,163.56,157631425
2013-06-05,163.09,163.42,161.13,161.27,211737712
2013-06-06,161.2,162.74,160.25,162.73,200225418
2013-06-07,163.85,164.95,163.14,164.8,188337725
2013-06-10,165.31,165.4,164.37,164.8,105667060
2013-06-11,163.3,164.54,162.74,163.1,158470476
2013-06-12,164.22,164.39,161.6,161.75,177363530
2013-06-13,161.66,164.5,161.3,164.21,163587777
2013-06-14,164.03,164.67,162.91,163.18,138337031
2013-06-17,164.29,165.22,163.22,164.44,136295578
2013-06-18,164.53,165.99,164.52,165.74,114695519
2013-06-19,165.6,165.89,163.38,163.45,206149463
2013-06-20,161.86,163.47,158.98,159.4,321255850
2013-06-21,159.64,159.76,157.47,159.07,271932960
2013-06-24,157.41,158.43,155.73,157.06,222334758
2013-06-25,158.48,160.1,157.42,158.58,162262138
2013-06-26,159.87,160.5,159.25,160.14,134847909
2013-06-27,161.1,161.82,160.95,161.08,129483673
2013-06-28,160.63,161.4,159.86,160.42,160402823
2013-07-01,161.26,162.48,161.08,161.36,131954792
2013-07-02,161.12,162.3,160.5,161.21,154863617
2013-07-03,160.48,161.77,160.22,161.28,75216341
2013-07-05,162.47,163.08,161.3,163.02,122416847
2013-07-08,163.86,164.39,163.08,163.94,108092440
2013-07-09,164.98,165.33,164.27,165.13,119297903
2013-07-10,164.97,165.75,164.63,165.19,121410362
2013-07-11,167.11,167.61,165.18,167.44,135592163
2013-07-12,167.39,167.93,167.13,167.51,104212650
2013-07-15,167.97,168.39,167.68,168.16,69450551
2013-07-16,168.26,168.36,167.07,167.52,88702093
2013-07-17,168.16,168.48,167.73,167.95,92873880
2013-07-18,168.31,169.27,168.2,168.87,103620266
2013-07-19,168.52,169.23,168.31,169.17,103831633
2013-07-22,169.41,169.74,169.01,169.5,79428559
2013-07-23,169.8,169.83,169.05,169.14,80829656
2013-07-24,169.79,169.86,168.18,168.52,112913979
2013-07-25,168.22,169.08,167.94,168.93,111156540
2013-07-26,168.22,169.16,167.52,169.11,107814531
2013-07-29,168.68,169.06,168.11,168.59,79845115
2013-07-30,169.1,169.28,168.19,168.59,85216968
2013-07-31,168.94,169.85,168.49,168.71,142388621
2013-08-01,169.99,170.81,169.9,170.66,110438393
2013-08-02,170.28,170.97,170.05,170.95,91116603
2013-08-05,170.57,170.96,170.35,170.7,54072643
2013-08-06,170.37,170.74,169.35,169.73,87494967
2013-08-07,169.19,169.43,168.55,169.18,84854618
2013-08-08,169.98,170.18,168.93,169.8,102181229
2013-08-09,169.58,170.1,168.72,169.31,91856453
2013-08-12,168.46,169.31,168.38,169.11,68593204
2013-08-13,169.41,169.9,168.41,169.61,80806030
2013-08-14,169.53,169.8,168.7,168.74,79829169
2013-08-15,167.41,167.43,166.09,166.38,152931740
2013-08-16,166.06,166.63,165.5,165.83,130868145
2013-08-19,165.64,166.21,164.76,164.77,96437569
2013-08-20,165.04,166.2,164.86,165.58,89294374
2013-08-21,165.12,166.03,164.19,164.56,159530482
2013-08-22,164.9,166.3,164.89,166.06,101471352
2013-08-23,166.55,166.83,165.77,166.62,90893581
2013-08-26,166.79,167.3,165.89,166.0,89705051
2013-08-27,164.36,166.0,163.21,163.33,158621736
2013-08-28,163.26,164.49,163.05,163.91,108112952
2013-08-29,163.55,165.04,163.4,164.17,119200461
2013-08-30,164.51,164.53,163.17,163.65,134928918
2013-09-03,165.23,165.58,163.7,164.39,142375036
2013-09-04,164.43,166.03,164.14,165.75,97389357
2013-09-05,165.85,166.4,165.73,165.96,63090428
2013-09-06,166.51,166.98,164.48,166.04,159756439
2013-09-09,166.45,167.73,166.45,167.63,87559246
2013-09-10,168.64,168.9,168.26,168.87,105847733
2013-09-11,168.64,169.4,168.35,169.4,89414958
2013-09-12,169.34,169.56,168.72,168.95,83208998
2013-09-13,169.13,169.46,168.74,169.33,72727764
2013-09-16,171.16,171.24,170.04,170.31,126187482
2013-09-17,170.46,171.11,170.46,171.07,82523205
2013-09-18,171.01,173.52,170.58,173.05,203460601
2013-09-19,173.52,173.6,172.58,172.76,146616842
2013-09-20,172.33,172.33,170.58,170.72,132867912
2013-09-23,170.49,170.65,169.39,169.93,104616418
2013-09-24,169.9,170.53,169.21,169.53,106333010
2013-09-25,169.64,169.98,168.89,169.04,117306473
2013-09-26,169.32,170.17,169.05,169.69,77146878
2013-09-27,168.84,169.14,168.47,168.91,99141710
2013-09-30,167.48,168.54,167.15,168.01,143937398
2013-10-01,168.14,169.5,167.97,169.34,127160442
2013-10-02,168.35,169.34,167.83,169.18,113349748
